                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0403,                 5.1311,                 1.5643,                  9e-05,                0.00758,                0.00213,                0.00106,                 1.7106,                 5.1575,                 1.2619,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.9177,                 4.7088,                 1.4563,                 0.0001,                0.00758,                0.00046,                0.00028,                 1.4966,                 4.8677,                 1.0967,             0.00015641,             0.00015641,             0.00015641
                      3,                 1.8489,                 3.9475,                 1.3383,                0.00012,                0.00758,                0.00013,                  8e-05,                 1.5827,                 4.6063,                 1.1221,             0.00024052,             0.00024052,             0.00024052
                      4,                 1.7561,                 3.2222,                 1.2653,                0.00015,                0.00758,                0.00016,                  7e-05,                 1.5159,                 4.4265,                 1.0971,             0.00032379,             0.00032379,             0.00032379
                      5,                 1.8259,                 3.4584,                 1.2835,                0.00021,                0.00758,                0.00066,                0.00018,                 1.5541,                 4.4407,                 1.0924,              0.0004062,              0.0004062,              0.0004062
                      6,                 1.7134,                 3.5243,                 1.2416,                0.00247,                0.06061,                0.00315,                0.00221,                 1.5757,                 4.3651,                 1.1489,             0.00048777,             0.00048777,             0.00048777
                      7,                 1.7683,                 3.2056,                 1.3172,                0.00305,                 0.1553,                0.01095,                0.00702,                 1.5618,                 4.3582,                 1.1464,             0.00056849,             0.00056849,             0.00056849
                      8,                 1.8192,                 2.6985,                 1.2681,                0.00043,                0.09686,                0.00294,                0.00137,                 1.4768,                  4.581,                 1.1979,             0.00064836,             0.00064836,             0.00064836
                      9,                  1.699,                  2.603,                  1.245,                0.00213,                0.13095,                0.00226,                0.00128,                 1.7002,                 4.5031,                 1.2561,             0.00072738,             0.00072738,             0.00072738
                     10,                 1.7472,                 2.5168,                 1.2996,                0.00211,                 0.1553,                0.00153,                0.00095,                 1.6787,                 4.4457,                 1.2916,             0.00080555,             0.00080555,             0.00080555
                     11,                 1.7031,                 2.3474,                 1.2728,                0.00253,                0.23323,                0.00345,                0.00262,                 1.5909,                 4.2954,                 1.2365,             0.00088287,             0.00088287,             0.00088287
