                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4205,                 7.3871,                 1.4698,                  4e-05,                0.00617,                  2e-05,                      0,                 2.0668,                 7.8452,                 1.1808,             0.00025722,             0.00025722,             0.00025722
                      2,                 1.8755,                 5.1448,                 1.1302,                0.00023,                0.04097,                0.00019,                  9e-05,                 1.9223,                 7.7185,                 1.1997,             0.00052611,             0.00052611,             0.00052611
                      3,                 1.9751,                 4.1436,                 1.2616,                0.00098,                0.19304,                0.06015,                0.04239,                 2.0244,                 8.1796,                 1.2473,             0.00079232,             0.00079232,             0.00079232
                      4,                 1.8422,                 3.5308,                 1.1895,                0.33421,                0.13428,                0.15061,                0.08232,                 1.9205,                  5.744,                 1.1489,              0.0010558,              0.0010558,              0.0010558
                      5,                 1.9226,                 3.5248,                 1.1914,                0.60636,                0.10887,                0.15728,                 0.1021,                 1.8444,                 5.2303,                 1.1252,              0.0013167,              0.0013167,              0.0013167
                      6,                 1.8153,                 3.1346,                 1.1891,                0.06415,                0.15941,                0.05268,                0.03005,                 1.8297,                 6.3428,                 1.1279,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.7226,                  3.022,                 1.1709,                0.06174,                0.33723,                 0.0439,                0.02129,                 1.8515,                 29.051,                 1.1702,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.8353,                  2.699,                 1.2137,                0.47249,                0.32492,                0.38693,                0.23931,                 1.9324,                 3.4926,                 1.1413,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.6984,                 2.5347,                 1.1441,                0.54407,                0.36124,                0.40106,                0.23565,                 2.0031,                 3.8177,                 1.1659,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.7785,                 2.6481,                  1.172,                0.87616,                0.45342,                0.53455,                0.31396,                 1.6659,                 2.7931,                 1.0887,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.8506,                 2.4273,                 1.1914,                0.53862,                0.39001,                0.48598,                0.28074,                 1.7996,                 2.7943,                 1.1502,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.7374,                  2.102,                 1.1357,                0.52838,                0.48145,                0.51544,                0.29756,                 1.8501,                 2.6432,                 1.1206,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.6084,                 1.8117,                 1.1084,                 0.5239,                 0.4147,                0.48764,                0.28998,                 1.7599,                 2.7335,                 1.1113,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.6606,                 1.8446,                 1.1482,                0.92182,                0.36537,                0.46475,                0.27264,                 1.8012,                 2.4712,                 1.1772,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.5857,                 1.8398,                 1.0885,                0.59328,                0.56287,                0.59275,                0.33835,                 1.7252,                 2.0174,                 1.1326,               0.001337,               0.001337,               0.001337
                     16,                 1.6265,                 1.5909,                 1.1032,                0.85836,                0.42975,                0.53988,                0.32587,                 1.6848,                 2.0812,                 1.1032,                0.00133,                0.00133,                0.00133
                     17,                 1.6223,                 1.6659,                 1.0956,                0.88241,                0.48411,                0.57099,                0.33891,                 1.7155,                 1.8089,                 1.0786,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.6082,                 1.5333,                 1.1328,                0.89092,                0.43662,                0.61018,                0.34972,                 1.6297,                 1.9072,                 1.0634,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.6308,                 1.5455,                 1.1038,                0.62604,                0.53733,                0.61004,                0.37748,                 1.5798,                 1.7381,                 1.0584,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.5865,                 1.4166,                 1.1144,                0.69981,                 0.6052,                0.65671,                0.38774,                  1.551,                 1.7196,                 1.0621,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.5063,                 1.4028,                 1.0851,                0.66729,                0.59289,                0.61642,                0.34898,                 1.6714,                 1.6225,                 1.0965,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.6712,                 1.4794,                 1.1043,                0.69808,                0.57782,                0.60303,                 0.3369,                 1.7401,                 1.8762,                 1.1199,              0.0012875,              0.0012875,              0.0012875
                     23,                 1.6034,                 1.3912,                 1.1168,                0.67254,                0.51751,                0.56734,                0.35584,                 1.6888,                 1.5441,                  1.103,              0.0012805,              0.0012805,              0.0012805
