                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.716,                 3.5822,                 1.8145,                0.00733,                0.70766,                 0.1994,                0.09875,                 1.4695,                 4.1495,                 1.7632,             0.00031438,             0.00031438,             0.00031438
                      2,                 1.6334,                 3.1076,                 1.7649,                0.85485,                0.05442,                0.19646,                0.08948,                 1.8267,                 3.9795,                 2.0967,             0.00063668,             0.00063668,             0.00063668
                      3,                 1.7256,                  2.872,                 1.7783,                0.63985,                0.08289,                0.11263,                0.04555,                 2.0463,                 4.0739,                 2.4885,             0.00095248,             0.00095248,             0.00095248
                      4,                 1.7954,                 2.9491,                  1.829,                0.52895,                0.11096,                0.13588,                0.04693,                 2.2041,                 4.5936,                 2.8023,              0.0012618,              0.0012618,              0.0012618
                      5,                 1.7946,                 2.7833,                 1.8917,                 0.2905,                0.20989,                0.15628,                0.06413,                 2.2151,                 4.1858,                 2.6623,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.7692,                 2.8179,                 1.8693,                0.51446,                0.17324,                0.18175,                0.07956,                 2.1531,                 4.1772,                 2.5561,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.7408,                 2.6984,                 1.8297,                0.41135,                 0.2754,                0.14663,                0.05635,                 2.5413,                 4.1805,                 2.7489,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.7472,                  2.524,                 1.8515,                0.38773,                0.20822,                0.16348,                0.06661,                 2.3196,                 3.7747,                  2.808,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.7293,                 2.4644,                 1.8533,                0.49408,                   0.25,                0.24243,                0.10033,                 2.0941,                   3.62,                 2.4524,                0.00133,                0.00133,                0.00133
                     10,                 1.7354,                 2.4398,                 1.7864,                0.42157,                0.20202,                0.19705,                0.07967,                 2.3682,                 4.0668,                 2.8426,              0.0013158,              0.0013158,              0.0013158
